Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,0.0|0.0|,91;9;0|91;9;0|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,0;0;0|0;0;0|,100|100|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,100|100|
1,100|100|,86;12;2|86;12;2|,0.0|0.0|,86;12;2|86;12;2|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,0;0;0|0;0;0|,100|100|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,100|100|
2,100|100|,83;12;5|83;12;5|,0.0|0.0|,83;12;5|83;12;5|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,0;0;0|0;0;0|,100|100|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,100|100|
3,100|100|,81;15;4|81;15;4|,0.0|0.0|,81;15;4|81;15;4|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,0;0;0|0;0;0|,100|100|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,100|100|
4,100|100|,76;16;8|76;16;8|,0.0|0.0|,76;16;8|76;16;8|,76;17;7|76;17;7|,76;17;7|76;17;7|,100|100|,0;0;0|0;0;0|,100|100|,76;17;7|76;17;7|,76;17;7|76;17;7|,100|100|,100|100|
5,100|100|,76;17;7|76;17;7|,0.0|0.0|,76;17;7|76;17;7|,71;19;10|71;19;10|,71;19;10|71;19;10|,100|100|,0;0;0|0;0;0|,100|100|,71;19;10|71;19;10|,71;19;10|71;19;10|,100|100|,100|100|
6,100|100|,71;19;10|71;19;10|,0.0|0.0|,71;19;10|71;19;10|,62;23;15|62;23;15|,62;23;15|62;23;15|,100|100|,0;0;0|0;0;0|,100|100|,62;23;15|62;23;15|,62;23;15|62;23;15|,100|100|,100|100|
7,100|100|,62;23;15|62;23;15|,0.0|0.0|,62;23;15|62;23;15|,58;25;17|58;25;17|,58;25;17|58;25;17|,100|100|,0;0;0|0;0;0|,100|100|,58;25;17|58;25;17|,58;25;17|58;25;17|,100|100|,100|100|
8,100|100|,58;25;17|58;25;17|,0.0|0.0|,58;25;17|58;25;17|,52;27;21|52;27;21|,52;27;21|52;27;21|,100|100|,0;0;0|0;0;0|,100|100|,52;27;21|52;27;21|,52;27;21|52;27;21|,100|100|,100|100|
9,100|100|,52;27;21|52;27;21|,0.0|0.0|,52;27;21|52;27;21|,51;28;21|51;28;21|,51;28;21|51;28;21|,100|100|,0;0;0|0;0;0|,100|100|,51;28;21|51;28;21|,51;28;21|51;28;21|,100|100|,100|100|
10,100|100|,51;28;21|51;28;21|,0.0|0.0|,51;28;21|51;28;21|,44;26;30|44;26;30|,44;26;30|44;26;30|,100|100|,0;0;0|0;0;0|,100|100|,44;26;30|44;26;30|,44;26;30|44;26;30|,100|100|,100|100|
11,100|100|,44;26;30|44;26;30|,0.0|0.0|,44;26;30|44;26;30|,40;31;29|40;31;29|,40;31;29|40;31;29|,100|100|,0;0;0|0;0;0|,100|100|,40;31;29|40;31;29|,40;31;29|40;31;29|,100|100|,100|100|
12,100|100|,40;31;29|40;31;29|,0.0|0.0|,40;31;29|40;31;29|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,0;0;0|0;0;0|,100|100|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,100|100|
13,100|100|,44;30;26|44;30;26|,0.0|0.0|,44;30;26|44;30;26|,42;31;27|42;31;27|,42;31;27|42;31;27|,100|100|,0;0;0|0;0;0|,100|100|,42;31;27|42;31;27|,42;31;27|42;31;27|,100|100|,100|100|
14,100|100|,42;31;27|42;31;27|,0.0|0.0|,42;31;27|42;31;27|,41;25;34|41;25;34|,41;25;34|41;25;34|,100|100|,0;0;0|0;0;0|,100|100|,41;25;34|41;25;34|,41;25;34|41;25;34|,100|100|,100|100|
15,100|100|,41;25;34|41;25;34|,0.0|0.0|,41;25;34|41;25;34|,43;29;28|43;29;28|,43;29;28|43;29;28|,100|100|,0;0;0|0;0;0|,100|100|,43;29;28|43;29;28|,43;29;28|43;29;28|,100|100|,100|100|
16,100|100|,43;29;28|43;29;28|,0.0|0.0|,43;29;28|43;29;28|,41;27;32|41;27;32|,41;27;32|41;27;32|,100|100|,0;0;0|0;0;0|,100|100|,41;27;32|41;27;32|,41;27;32|41;27;32|,100|100|,100|100|
17,100|100|,41;27;32|41;27;32|,0.0|0.0|,41;27;32|41;27;32|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,0;0;0|0;0;0|,100|100|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,100|100|
18,100|100|,43;26;31|43;26;31|,0.0|0.0|,43;26;31|43;26;31|,47;26;27|47;26;27|,47;26;27|47;26;27|,100|100|,0;0;0|0;0;0|,100|100|,47;26;27|47;26;27|,47;26;27|47;26;27|,100|100|,100|100|
19,100|100|,47;26;27|47;26;27|,0.0|0.0|,47;26;27|47;26;27|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,0;0;0|0;0;0|,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,100|100|
20,100|100|,42;27;31|42;27;31|,0.0|0.0|,42;27;31|42;27;31|,40;29;31|40;29;31|,40;29;31|40;29;31|,100|100|,0;0;0|0;0;0|,100|100|,40;29;31|40;29;31|,40;29;31|40;29;31|,100|100|,100|100|
21,100|100|,40;29;31|40;29;31|,0.0|0.0|,40;29;31|40;29;31|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,0;0;0|0;0;0|,100|100|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,100|100|
22,100|100|,42;24;34|42;24;34|,0.0|0.0|,42;24;34|42;24;34|,46;22;32|46;22;32|,46;22;32|46;22;32|,100|100|,0;0;0|0;0;0|,100|100|,46;22;32|46;22;32|,46;22;32|46;22;32|,100|100|,100|100|
