Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,94;0;6;0|94;0;6;0|,94;0;6;0|94;0;6;0|,89;5;4;2|89;5;4;2|,89;5;4;2|89;5;4;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;5;4;2|89;5;4;2|,89;5;4;2|89;5;4;2|,100|100|,100|100|
1,100|100|,89;5;4;2|89;5;4;2|,89;5;4;2|89;5;4;2|,87;4;6;3|87;4;6;3|,87;4;6;3|87;4;6;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,87;4;6;3|87;4;6;3|,87;4;6;3|87;4;6;3|,100|100|,100|100|
2,100|100|,87;4;6;3|87;4;6;3|,87;4;6;3|87;4;6;3|,85;4;7;4|85;4;7;4|,85;4;7;4|85;4;7;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,85;4;7;4|85;4;7;4|,85;4;7;4|85;4;7;4|,100|100|,100|100|
3,100|100|,85;4;7;4|85;4;7;4|,85;4;7;4|85;4;7;4|,80;6;10;4|80;6;10;4|,80;6;10;4|80;6;10;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;6;10;4|80;6;10;4|,80;6;10;4|80;6;10;4|,100|100|,100|100|
4,100|100|,80;6;10;4|80;6;10;4|,80;6;10;4|80;6;10;4|,76;6;9;9|76;6;9;9|,76;6;9;9|76;6;9;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;6;9;9|76;6;9;9|,76;6;9;9|76;6;9;9|,100|100|,100|100|
5,100|100|,76;6;9;9|76;6;9;9|,76;6;9;9|76;6;9;9|,72;4;14;10|72;4;14;10|,72;4;14;10|72;4;14;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;4;14;10|72;4;14;10|,72;4;14;10|72;4;14;10|,100|100|,100|100|
6,100|100|,72;4;14;10|72;4;14;10|,72;4;14;10|72;4;14;10|,71;2;16;11|71;2;16;11|,71;2;16;11|71;2;16;11|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;2;16;11|71;2;16;11|,71;2;16;11|71;2;16;11|,100|100|,100|100|
7,100|100|,71;2;16;11|71;2;16;11|,71;2;16;11|71;2;16;11|,61;11;12;16|61;11;12;16|,61;11;12;16|61;11;12;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,61;11;12;16|61;11;12;16|,61;11;12;16|61;11;12;16|,100|100|,100|100|
8,100|100|,61;11;12;16|61;11;12;16|,61;11;12;16|61;11;12;16|,54;14;13;19|54;14;13;19|,54;14;13;19|54;14;13;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;14;13;19|54;14;13;19|,54;14;13;19|54;14;13;19|,100|100|,100|100|
9,100|100|,54;14;13;19|54;14;13;19|,54;14;13;19|54;14;13;19|,49;14;17;20|49;14;17;20|,49;14;17;20|49;14;17;20|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;14;17;20|49;14;17;20|,49;14;17;20|49;14;17;20|,100|100|,100|100|
10,100|100|,49;14;17;20|49;14;17;20|,49;14;17;20|49;14;17;20|,45;10;22;23|45;10;22;23|,45;10;22;23|45;10;22;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;10;22;23|45;10;22;23|,45;10;22;23|45;10;22;23|,100|100|,100|100|
11,100|100|,45;10;22;23|45;10;22;23|,45;10;22;23|45;10;22;23|,37;14;19;30|37;14;19;30|,37;14;19;30|37;14;19;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;14;19;30|37;14;19;30|,37;14;19;30|37;14;19;30|,100|100|,100|100|
12,100|100|,37;14;19;30|37;14;19;30|,37;14;19;30|37;14;19;30|,34;10;24;32|34;10;24;32|,34;10;24;32|34;10;24;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;10;24;32|34;10;24;32|,34;10;24;32|34;10;24;32|,100|100|,100|100|
13,100|100|,34;10;24;32|34;10;24;32|,34;10;24;32|34;10;24;32|,29;10;25;36|29;10;25;36|,29;10;25;36|29;10;25;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;10;25;36|29;10;25;36|,29;10;25;36|29;10;25;36|,100|100|,100|100|
14,100|100|,29;10;25;36|29;10;25;36|,29;10;25;36|29;10;25;36|,27;6;25;42|27;6;25;42|,27;6;25;42|27;6;25;42|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;6;25;42|27;6;25;42|,27;6;25;42|27;6;25;42|,100|100|,100|100|
15,100|100|,27;6;25;42|27;6;25;42|,27;6;25;42|27;6;25;42|,23;6;24;47|23;6;24;47|,23;6;24;47|23;6;24;47|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;6;24;47|23;6;24;47|,23;6;24;47|23;6;24;47|,100|100|,100|100|
16,100|100|,23;6;24;47|23;6;24;47|,23;6;24;47|23;6;24;47|,19;8;19;54|19;8;19;54|,19;8;19;54|19;8;19;54|,100|100|,0;0;0;0|0;0;0;0|,100|100|,19;8;19;54|19;8;19;54|,19;8;19;54|19;8;19;54|,100|100|,100|100|
