Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,85;0;15;0|85;0;15;0|,85;0;15;0|85;0;15;0|,77;8;10;5|77;8;10;5|,77;8;10;5|77;8;10;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;8;10;5|77;8;10;5|,77;8;10;5|77;8;10;5|,100|100|,100|100|
1,100|100|,77;8;10;5|77;8;10;5|,77;8;10;5|77;8;10;5|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,100|100|,100|100|
2,100|100|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,65;12;13;10|65;12;13;10|,65;12;13;10|65;12;13;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,65;12;13;10|65;12;13;10|,65;12;13;10|65;12;13;10|,100|100|,100|100|
3,100|100|,65;12;13;10|65;12;13;10|,65;12;13;10|65;12;13;10|,60;9;17;14|60;9;17;14|,60;9;17;14|60;9;17;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,60;9;17;14|60;9;17;14|,60;9;17;14|60;9;17;14|,100|100|,100|100|
4,100|100|,60;9;17;14|60;9;17;14|,60;9;17;14|60;9;17;14|,57;8;19;16|57;8;19;16|,57;8;19;16|57;8;19;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,57;8;19;16|57;8;19;16|,57;8;19;16|57;8;19;16|,100|100|,100|100|
5,100|100|,57;8;19;16|57;8;19;16|,57;8;19;16|57;8;19;16|,53;9;19;19|53;9;19;19|,53;9;19;19|53;9;19;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,53;9;19;19|53;9;19;19|,53;9;19;19|53;9;19;19|,100|100|,100|100|
6,100|100|,53;9;19;19|53;9;19;19|,53;9;19;19|53;9;19;19|,49;8;18;25|49;8;18;25|,49;8;18;25|49;8;18;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;8;18;25|49;8;18;25|,49;8;18;25|49;8;18;25|,100|100|,100|100|
7,100|100|,49;8;18;25|49;8;18;25|,49;8;18;25|49;8;18;25|,46;6;22;26|46;6;22;26|,46;6;22;26|46;6;22;26|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;6;22;26|46;6;22;26|,46;6;22;26|46;6;22;26|,100|100|,100|100|
8,100|100|,46;6;22;26|46;6;22;26|,46;6;22;26|46;6;22;26|,42;7;21;30|42;7;21;30|,42;7;21;30|42;7;21;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;7;21;30|42;7;21;30|,42;7;21;30|42;7;21;30|,100|100|,100|100|
9,100|100|,42;7;21;30|42;7;21;30|,42;7;21;30|42;7;21;30|,41;6;17;36|41;6;17;36|,41;6;17;36|41;6;17;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,41;6;17;36|41;6;17;36|,41;6;17;36|41;6;17;36|,100|100|,100|100|
10,100|100|,41;6;17;36|41;6;17;36|,41;6;17;36|41;6;17;36|,35;10;15;40|35;10;15;40|,35;10;15;40|35;10;15;40|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;10;15;40|35;10;15;40|,35;10;15;40|35;10;15;40|,100|100|,100|100|
11,100|100|,35;10;15;40|35;10;15;40|,35;10;15;40|35;10;15;40|,34;9;16;41|34;9;16;41|,34;9;16;41|34;9;16;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;9;16;41|34;9;16;41|,34;9;16;41|34;9;16;41|,100|100|,100|100|
12,100|100|,34;9;16;41|34;9;16;41|,34;9;16;41|34;9;16;41|,32;7;18;43|32;7;18;43|,32;7;18;43|32;7;18;43|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;7;18;43|32;7;18;43|,32;7;18;43|32;7;18;43|,100|100|,100|100|
13,100|100|,32;7;18;43|32;7;18;43|,32;7;18;43|32;7;18;43|,30;9;12;49|30;9;12;49|,30;9;12;49|30;9;12;49|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;9;12;49|30;9;12;49|,30;9;12;49|30;9;12;49|,100|100|,100|100|
14,100|100|,30;9;12;49|30;9;12;49|,30;9;12;49|30;9;12;49|,27;6;17;50|27;6;17;50|,27;6;17;50|27;6;17;50|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;6;17;50|27;6;17;50|,27;6;17;50|27;6;17;50|,100|100|,100|100|
15,100|100|,27;6;17;50|27;6;17;50|,27;6;17;50|27;6;17;50|,24;7;14;55|24;7;14;55|,24;7;14;55|24;7;14;55|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;7;14;55|24;7;14;55|,24;7;14;55|24;7;14;55|,100|100|,100|100|
16,100|100|,24;7;14;55|24;7;14;55|,24;7;14;55|24;7;14;55|,23;3;19;55|23;3;19;55|,23;3;19;55|23;3;19;55|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;3;19;55|23;3;19;55|,23;3;19;55|23;3;19;55|,100|100|,100|100|
17,100|100|,23;3;19;55|23;3;19;55|,23;3;19;55|23;3;19;55|,18;7;17;58|18;7;17;58|,18;7;17;58|18;7;17;58|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;7;17;58|18;7;17;58|,18;7;17;58|18;7;17;58|,100|100|,100|100|
18,100|100|,18;7;17;58|18;7;17;58|,18;7;17;58|18;7;17;58|,17;4;17;62|17;4;17;62|,17;4;17;62|17;4;17;62|,100|100|,0;0;0;0|0;0;0;0|,100|100|,17;4;17;62|17;4;17;62|,17;4;17;62|17;4;17;62|,100|100|,100|100|
