Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,86;9;5|86;9;5|,86;9;5|86;9;5|,100|100|,0;0;0|0;0;0|,100|100|,86;9;5|86;9;5|,86;9;5|86;9;5|,100|100|,100|100|
1,100|100|,86;9;5|86;9;5|,86;9;5|86;9;5|,80;14;6|80;14;6|,80;14;6|80;14;6|,100|100|,0;0;0|0;0;0|,100|100|,80;14;6|80;14;6|,80;14;6|80;14;6|,100|100|,100|100|
2,100|100|,80;14;6|80;14;6|,80;14;6|80;14;6|,75;18;7|75;18;7|,75;18;7|75;18;7|,100|100|,0;0;0|0;0;0|,100|100|,75;18;7|75;18;7|,75;18;7|75;18;7|,100|100|,100|100|
3,100|100|,75;18;7|75;18;7|,75;18;7|75;18;7|,68;22;10|68;22;10|,68;22;10|68;22;10|,100|100|,0;0;0|0;0;0|,100|100|,68;22;10|68;22;10|,68;22;10|68;22;10|,100|100|,100|100|
4,100|100|,68;22;10|68;22;10|,68;22;10|68;22;10|,63;24;13|63;24;13|,63;24;13|63;24;13|,100|100|,0;0;0|0;0;0|,100|100|,63;24;13|63;24;13|,63;24;13|63;24;13|,100|100|,100|100|
5,100|100|,63;24;13|63;24;13|,63;24;13|63;24;13|,56;23;21|56;23;21|,56;23;21|56;23;21|,100|100|,0;0;0|0;0;0|,100|100|,56;23;21|56;23;21|,56;23;21|56;23;21|,100|100|,100|100|
6,100|100|,56;23;21|56;23;21|,56;23;21|56;23;21|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,0;0;0|0;0;0|,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,100|100|
7,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,0;0;0|0;0;0|,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,100|100|
8,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,38;26;36|38;26;36|,38;26;36|38;26;36|,100|100|,0;0;0|0;0;0|,100|100|,38;26;36|38;26;36|,38;26;36|38;26;36|,100|100|,100|100|
9,100|100|,38;26;36|38;26;36|,38;26;36|38;26;36|,34;23;43|34;23;43|,34;23;43|34;23;43|,100|100|,0;0;0|0;0;0|,100|100|,34;23;43|34;23;43|,34;23;43|34;23;43|,100|100|,100|100|
10,100|100|,34;23;43|34;23;43|,34;23;43|34;23;43|,32;19;49|32;19;49|,32;19;49|32;19;49|,100|100|,0;0;0|0;0;0|,100|100|,32;19;49|32;19;49|,32;19;49|32;19;49|,100|100|,100|100|
