Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,96;4;0|96;4;0|,0.0|0.0|,96;4;0|96;4;0|,93;6;1|93;6;1|,93;6;1|93;6;1|,100|100|,0;0;0|0;0;0|,100|100|,93;6;1|93;6;1|,93;6;1|93;6;1|,100|100|,100|100|
1,100|100|,93;6;1|93;6;1|,0.0|0.0|,93;6;1|93;6;1|,92;5;3|92;5;3|,92;5;3|92;5;3|,100|100|,0;0;0|0;0;0|,100|100|,92;5;3|92;5;3|,92;5;3|92;5;3|,100|100|,100|100|
2,100|100|,92;5;3|92;5;3|,0.0|0.0|,92;5;3|92;5;3|,91;8;1|91;8;1|,91;8;1|91;8;1|,100|100|,0;0;0|0;0;0|,100|100|,91;8;1|91;8;1|,91;8;1|91;8;1|,100|100|,100|100|
3,100|100|,91;8;1|91;8;1|,0.0|0.0|,91;8;1|91;8;1|,89;7;4|89;7;4|,89;7;4|89;7;4|,100|100|,0;0;0|0;0;0|,100|100|,89;7;4|89;7;4|,89;7;4|89;7;4|,100|100|,100|100|
4,100|100|,89;7;4|89;7;4|,0.0|0.0|,89;7;4|89;7;4|,87;8;5|87;8;5|,87;8;5|87;8;5|,100|100|,0;0;0|0;0;0|,100|100|,87;8;5|87;8;5|,87;8;5|87;8;5|,100|100|,100|100|
5,100|100|,87;8;5|87;8;5|,0.0|0.0|,87;8;5|87;8;5|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,0;0;0|0;0;0|,100|100|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,100|100|
6,100|100|,83;12;5|83;12;5|,0.0|0.0|,83;12;5|83;12;5|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,0;0;0|0;0;0|,100|100|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,100|100|
7,100|100|,77;16;7|77;16;7|,0.0|0.0|,77;16;7|77;16;7|,73;19;8|73;19;8|,73;19;8|73;19;8|,100|100|,0;0;0|0;0;0|,100|100|,73;19;8|73;19;8|,73;19;8|73;19;8|,100|100|,100|100|
8,100|100|,73;19;8|73;19;8|,0.0|0.0|,73;19;8|73;19;8|,64;25;11|64;25;11|,64;25;11|64;25;11|,100|100|,0;0;0|0;0;0|,100|100|,64;25;11|64;25;11|,64;25;11|64;25;11|,100|100|,100|100|
9,100|100|,64;25;11|64;25;11|,0.0|0.0|,64;25;11|64;25;11|,53;30;17|53;30;17|,53;30;17|53;30;17|,100|100|,0;0;0|0;0;0|,100|100|,53;30;17|53;30;17|,53;30;17|53;30;17|,100|100|,100|100|
