Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;0;9;0|91;0;9;0|,91;0;9;0|91;0;9;0|,91;0;8;1|91;0;8;1|,91;0;8;1|91;0;8;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,91;0;8;1|91;0;8;1|,91;0;8;1|91;0;8;1|,100|100|,100|100|
1,100|100|,91;0;8;1|91;0;8;1|,91;0;8;1|91;0;8;1|,90;1;5;4|90;1;5;4|,90;1;5;4|90;1;5;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,90;1;5;4|90;1;5;4|,90;1;5;4|90;1;5;4|,100|100|,100|100|
2,100|100|,90;1;5;4|90;1;5;4|,90;1;5;4|90;1;5;4|,89;1;5;5|89;1;5;5|,89;1;5;5|89;1;5;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;1;5;5|89;1;5;5|,89;1;5;5|89;1;5;5|,100|100|,100|100|
3,100|100|,89;1;5;5|89;1;5;5|,89;1;5;5|89;1;5;5|,87;2;6;5|87;2;6;5|,87;2;6;5|87;2;6;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,87;2;6;5|87;2;6;5|,87;2;6;5|87;2;6;5|,100|100|,100|100|
4,100|100|,87;2;6;5|87;2;6;5|,87;2;6;5|87;2;6;5|,83;5;7;5|83;5;7;5|,83;5;7;5|83;5;7;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;7;5|83;5;7;5|,83;5;7;5|83;5;7;5|,100|100|,100|100|
5,100|100|,83;5;7;5|83;5;7;5|,83;5;7;5|83;5;7;5|,82;3;9;6|82;3;9;6|,82;3;9;6|82;3;9;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;3;9;6|82;3;9;6|,82;3;9;6|82;3;9;6|,100|100|,100|100|
6,100|100|,82;3;9;6|82;3;9;6|,82;3;9;6|82;3;9;6|,76;9;7;8|76;9;7;8|,76;9;7;8|76;9;7;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;9;7;8|76;9;7;8|,76;9;7;8|76;9;7;8|,100|100|,100|100|
7,100|100|,76;9;7;8|76;9;7;8|,76;9;7;8|76;9;7;8|,72;9;10;9|72;9;10;9|,72;9;10;9|72;9;10;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;9;10;9|72;9;10;9|,72;9;10;9|72;9;10;9|,100|100|,100|100|
8,100|100|,72;9;10;9|72;9;10;9|,72;9;10;9|72;9;10;9|,70;8;9;13|70;8;9;13|,70;8;9;13|70;8;9;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;8;9;13|70;8;9;13|,70;8;9;13|70;8;9;13|,100|100|,100|100|
9,100|100|,70;8;9;13|70;8;9;13|,70;8;9;13|70;8;9;13|,67;8;10;15|67;8;10;15|,67;8;10;15|67;8;10;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;8;10;15|67;8;10;15|,67;8;10;15|67;8;10;15|,100|100|,100|100|
